id,identity,seed,arm,within_scale_test,common_fresh_test,mse,rmse,mae,cosine,pearson,source_mse,source_mae
306,CC1CC(=O)C1,11,baseline,True,True,0.0529010035097599,0.23000217974185944,0.1001010611653328,0.7097247838973999,0.6347238421440125,3.341592417081115e-05,0.002515842587984385
330,C#CC(N)C#N,11,baseline,True,True,0.028169965371489525,0.16783910989761353,0.07350709289312363,0.9434192180633545,0.9329845309257507,1.779409395465251e-05,0.001847455687947201
333,C#CC(O)C#N,11,baseline,True,True,0.023871373385190964,0.15450364351272583,0.060489095747470856,0.9878805875778198,0.9857426285743713,1.5078806638242563e-05,0.0015202740252553484
335,C#CC(C)C=O,11,baseline,True,True,0.030201788991689682,0.17378662526607513,0.08271337300539017,0.9702845811843872,0.9645940065383911,1.9077533956098707e-05,0.0020788373667597645
346,CCC(=O)C#N,11,baseline,True,True,0.03467250615358353,0.18620555102825165,0.07659520208835602,0.9422589540481567,0.9373601078987122,2.1901547410653054e-05,0.0019250692171072941
348,C#CC(=O)NC,11,baseline,True,True,0.0952877327799797,0.30868712067604065,0.13037043809890747,0.947168231010437,0.936208963394165,6.019030721027563e-05,0.0032766036300222972
377,C#CC(C)OC,11,baseline,True,True,0.12413811683654785,0.35233238339424133,0.12077919393777847,0.9561569094657898,0.9502349495887756,7.841420055769004e-05,0.0030355466397025813
379,N#CC(N)CO,11,baseline,True,True,0.007525857537984848,0.08675169944763184,0.04129815846681595,0.9441213011741638,0.9311797618865967,4.7538509314522185e-06,0.001037947696723581
382,C#CC(O)CO,11,baseline,True,True,0.03198269009590149,0.17883704602718353,0.06484067440032959,0.9694576263427734,0.9644714593887329,2.0202473981916484e-05,0.0016296423653346164
388,COC(C)C=O,11,baseline,True,True,0.015839869156479836,0.12585654854774475,0.058324459940195084,0.9566307067871094,0.9486986994743347,1.0005554365539537e-05,0.0014658701769042744
418,OCC1(O)CC1,11,baseline,True,True,0.07560350000858307,0.2749609053134918,0.11793671548366547,0.907645583152771,0.8912690877914429,4.775638751103529e-05,0.0029641065543824655
433,CC1CCC1O,11,baseline,True,True,0.010370486415922642,0.10183558613061905,0.03644706681370735,0.965561032295227,0.9601534605026245,6.5507148200877465e-06,0.0009160250833464024
437,N=C1CN=CN1,11,baseline,True,True,0.10994470119476318,0.3315790891647339,0.14552809298038483,0.9131757616996765,0.8937382698059082,6.944865984307622e-05,0.003657561366542246
445,N=C1CCCO1,11,baseline,True,True,0.06610365211963654,0.25710630416870117,0.09969107806682587,0.966771125793457,0.9608906507492065,4.175562806168551e-05,0.002505538472048252
457,CC1=CCOC1,11,baseline,True,True,0.12030096352100372,0.34684428572654724,0.14360830187797546,0.9697422385215759,0.9646547436714172,7.599038974660887e-05,0.0036093112065614477
467,CC1CCCO1,11,baseline,True,True,0.0250274408608675,0.15820063650608063,0.07537779957056046,0.950179934501648,0.9386913180351257,1.5809058628574296e-05,0.0018944722077915708
468,CC1CCOC1,11,baseline,True,True,0.0832470953464508,0.2885257303714752,0.10133164376020432,0.932869017124176,0.9236870408058167,5.258460976121304e-05,0.002546770852521927
469,CC1COCO1,11,baseline,True,True,0.07326025515794754,0.27066633105278015,0.11057380586862564,0.90812748670578,0.8906915187835693,4.62762323712933e-05,0.0027790543544821897
470,CC1OCCO1,11,baseline,True,True,0.023300427943468094,0.15264476835727692,0.05650961771607399,0.9840580821037292,0.9808684587478638,1.4718158100020375e-05,0.0014202576998259854
474,CC1C(C)C1O,11,baseline,True,True,0.02056276984512806,0.1433972418308258,0.04819251596927643,0.9630087018013,0.956942081451416,1.2988864337136276e-05,0.0012112237641254192
477,OC1C(O)C1O,11,baseline,True,True,0.017684392631053925,0.13298268616199493,0.06323563307523727,0.939316987991333,0.9294192790985107,1.1170682670643944e-05,0.0015893028197380649
